N Pedido;Nmero de parte;Fecha de pedido;Proveedor;Nombre del proveedor;Cant. del Pedido;Cantidad recibida;presupuesto pedido;presupuesto pendiente ;Estado Pedido;Descripcion del articulo
17151;2254399990;02-01-2023;76215260-6;NEMO CHILE S.A.;2000;2000;$1.482.740;$0;Completado;CAMPO QUIRURGICO ANESTESIA 
17152;2223019000;02-01-2023;84609600-0;MADEGOM S.A.;1000;1000;$235.620;$0;Completado;SONDA ASPIRACION N 12 DES
17153;2223021000;02-01-2023;76167715-2;DETERCO SpA;9000;3000;$1.884.960;$1.256.640;Abierto;SONDA ASPIRACION N 14 DES
17154;2224110626;02-01-2023;96533330-4;HEMISFERIO SUR S.A.;40;40;$5.212.200;$0;Completado;CATETER VEN. CENT. PENTA LUMEN 12 FR X 20 CM
17155;2160000510;02-01-2023;79581120-6;Difem Laboratorios S.A.;100;100;$1.285.200;$0;Completado;NALOXONA 0.4 MG 1 ML
17156;2240000056;02-01-2023;77251645-K;LLAMA CHILE SPA;1700;0;$1.980.315;$1.980.315;Completado;APOSITO 10 X10 HIDROCOLOIDE
17157;2251574125;02-01-2023;78233420-4;Hospitalia Productos Medicos Ltda.;700;700;$3.998.400;$0;Completado;TELFA CLEAR 10 X 12.5 CM
17158;2620941000;02-01-2023;76786297-0;ADN FARMACEUTICA;5;0;$229.819;$229.819;Completado;FILGRASTIM 300 MCG JERINGA PRE LLENADA
17159;3406265403;03-01-2023;76215260-6;NEMO CHILE S.A.;1920;1920;$3.404.352;$0;Completado;BANDEJA CURACION ATENCION PRIMARIA DESECH. 888117
17160;29666909;03-01-2023;96625950-7;TECNIKA S.A.;132;0;$2.089.164;$2.089.164;Completado;PACK ROPA UNIVERSAL ESTERIL  DESECHABLE 
17161;90000025;03-01-2023;78084460-4;PRODUCTOS QUIMICOS INDUSTRIALES CHILENOS LTDA;9000;9000;$4.176.900;$0;Completado;CLORO 0 5  CONCENTRACION
17162;2192190033;03-01-2023;96515660-7;CENTRAL DE COMPRAS DEL EXTRASISTEMA S.A.;10;10;$1.904.000;$0;Completado;COILS TORNADO 0.018 3X2
17162;2192190173;03-01-2023;96515660-7;CENTRAL DE COMPRAS DEL EXTRASISTEMA S.A.;10;10;$1.904.000;$0;Completado;COILS TORNADO 0.018O 8 X 4
17163;2192190136;03-01-2023;76821822-6;SOCIEDAD TH MEDICAL SPA;16;16;$3.539.536;$0;Completado;CATETER TUNELIZADO 24 CM
17164;29666909;03-01-2023;96625950-7;TECNIKA S.A.;36;0;$569.772;$569.772;Abierto;PACK ROPA UNIVERSAL ESTERIL  DESECHABLE 
17165;2250000033;03-01-2023;81210400-4;Reutter SA;1500;1500;$5.319.300;$0;Completado;APOSITO GASA 20X3.0 MT ESTERIL ENV. MIXTO
17166;2250001700;03-01-2023;96625950-7;TECNIKA S.A.;5000;5000;$2.856.000;$0;Completado;PA AL SABANILLA DES. AD.
17167;3477510924;03-01-2023;96515660-7;CENTRAL DE COMPRAS DEL EXTRASISTEMA S.A.;8;8;$6.426.000;$0;Completado;FILTRO VENA CAVA
17168;2192190199;03-01-2023;87590600-3;Comercializadora Terumo Chile Ltda.;12;12;$2.427.600;$0;Completado;DISPOSITIVO DE CIERRE VASCULAR 6 FR X 2 PARA ANGIO
17169;2242240005;03-01-2023;76282623-2;Byamp;;;;;;
17170;2192190042;03-01-2023;87590600-3;Comercializadora Terumo Chile Ltda.;60;60;$249.900;$0;Completado;TORQUE GUIA  tipo terumo 
17171;2249615219;03-01-2023;76215260-6;NEMO CHILE S.A.;400;400;$2.067.649;$0;Completado;APOSITO ALGINATO DE PLATA CON CMC ESTERIL 10X10 CM
17172;2250000032;03-01-2023;77606220-0;SERVICIOS ASESORIAS Y SOLUCIONES FINANCIERAS;10000;10000;$5.628.700;$0;Completado;APOSITO GASA 20X25   20X30 ESTERIL
17173;2120000016;03-01-2023;76237266-5;Laboratorios Andromaco S A;240;240;$152.796;$0;Completado;Tapentadol LP 50mg
17174;2192190203;03-01-2023;87590600-3;Comercializadora Terumo Chile Ltda.;20;20;$5.474.000;$0;Completado;MICRO CATETER PROGREAT 2.7 FR 130 CM
17175;3471940015;03-01-2023;86383300-0;MEDIPLEX S.A.;500;500;$1.844.500;$0;Completado;TUBO COARRUG. DESECH. EST.C C 15 CM
17176;3473470100;03-01-2023;86383300-0;MEDIPLEX S.A.;100;100;$1.011.500;$0;Completado;SABANA CALENTADOR PARTE INFERIOR PACIENTE PABELLON
17177;9009695087;03-01-2023;61608406-2;HOSPITAL DEL SALVADOR;5;0;$562.825;$562.825;Abierto;DAPTOMICINA 500 MG
17178;90003670;03-01-2023;76215260-6;NEMO CHILE S.A.;4800;4800;$1.942.080;$0;Completado;CHATA DESECHABLE DE CARTON
17179;99140126;03-01-2023;76215260-6;NEMO CHILE S.A.;3360;3360;$2.159.136;$0;Completado;PATO CARTON DESECHABLE ENERTAK
17180;20000304;03-01-2023;91575000-1;SOCOFAR S.A.;16000;16000;$3.522.400;$0;Completado;COMPRESA GASA LAPAROTOMIA
17181;90000157;03-01-2023;77055785-2;SCANNO SPA;4460;4460;$18.177.845;$0;Completado;TOALLA PAPEL ROLLO X 300 MTS  JUMBO 
17182;20020326;03-01-2023;77032458-0;GRUPO GRAFENO CHILE SPA;6000;6000;$7.068.600;$0;Completado;CUBRE CALZADO LARGO DESECHABLE DE POLIPROPILENO  M
17183;20020330;03-01-2023;94544000-7;MEGALABS CHILE S.A.;590;590;$1.748.229;$0;Completado;CUBREMESA QUIRURGICA  ACTUAL SABANA PACIENTE 
17184;26623690;03-01-2023;96625950-7;TECNIKA S.A.;510;510;$1.450.491;$0;Completado;CUBREMESA ARSENALERA
17185;72706264;03-01-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;630;630;$4.648.140;$0;Completado;FRESUBIN 2 KCAL X 500 CC X 15
17186;84931541;03-01-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;660;660;$2.120.580;$0;Completado;BAJADAS AMIKA C  PUNZON FRESENIUS COMODATO BOMBA I
17187;2253294961;04-01-2023;96756540-7;B.BRAUN MEDICAL SpA;300;300;$2.427.600;$0;Completado;KIT MANGA ECOGRAFIA
17188;2622620019;04-01-2023;77807840-6;RECETARIO MAGISTRAL ENDOVENOSO S.A.;8;8;$142.800;$0;Completado;OMEGAVEN 10  100ML
17188;2622620018;04-01-2023;77807840-6;RECETARIO MAGISTRAL ENDOVENOSO S.A.;15;15;$1.499.400;$0;Completado;NPT MAGISTRAL 1001 A 3000 ML
17189;2244169203;04-01-2023;93366000-1;COMERCIAL IBF LIMITADA;20;20;$1.691.656;$0;Completado;KIT ESPONJA M PUERTO BLANDO Y CONEXION TUBO BLANDA
17190;2244169205;04-01-2023;93366000-1;COMERCIAL IBF LIMITADA;20;20;$2.614.882;$0;Completado;KIT ESPONJA L PUERTO BLANDO Y CONEXION TUBO BLANDA
17191;2240000256;04-01-2023;93366000-1;COMERCIAL IBF LIMITADA;10000;10000;$690.200;$0;Completado;JERINGA DES. EST. 10 CC AG21GX1 5 LIBRE LATEX
17192;2240000397;04-01-2023;93366000-1;COMERCIAL IBF LIMITADA;20000;20000;$2.118.200;$0;Completado;JERINGA DES. EST. 20 CC EMBUTIDA AG21GX1.5
17193;2254196663;04-01-2023;76131542-0;MEDCORP S.A.;10;10;$5.236.000;$0;Completado;KIT APOSITO ESPONJA ABDOMEN ABIERTO
17194;2164740000;04-01-2023;91546000-3;LABORATORIO SANDERSON SA;300;300;$196.350;$0;Completado;FOSFATO MONOPOT. 15  10ML
17195;2132130004;04-01-2023;96981250-9;PFIZER CHILE S.A.;50;50;$833.000;$0;Completado;AZITROMICINA 500 MG E.V.
17196;2620000350;04-01-2023;76328242-2;ASPEN Chile S.A;60;60;$430.756;$0;Completado;MIVACURIO CL. 10 MG 5 ML
17197;2255826522;04-01-2023;76215260-6;NEMO CHILE S.A.;8000;8000;$2.170.560;$0;Completado;BAJADA INFUSION STANDARD
17198;2254196206;04-01-2023;76131542-0;MEDCORP S.A.;30;30;$1.320.900;$0;Completado;KIT APOSITO ESPONJA HERIDAS NOBLES
